iter	Passed	Remaining
0	1	112
1	2	111
2	3	109
3	4	99
4	5	96
5	5	92
6	6	90
7	7	87
8	8	86
9	9	86
10	10	84
11	11	83
12	12	82
13	13	81
14	14	80
15	15	79
16	15	78
17	16	77
18	18	77
19	18	75
20	19	74
21	20	73
22	21	72
23	22	71
24	23	70
25	24	69
26	25	67
27	26	67
28	27	66
29	28	65
30	29	64
31	29	63
32	30	62
33	31	61
34	32	61
35	33	60
36	34	59
37	35	58
38	36	57
39	37	56
40	38	55
41	38	53
42	39	52
43	40	52
44	41	51
45	42	50
46	43	49
47	44	48
48	45	47
49	46	46
50	47	45
51	48	44
52	49	44
53	50	43
54	51	42
55	52	41
56	54	40
57	54	39
58	55	38
59	56	37
60	57	36
61	58	35
62	59	34
63	59	33
64	60	32
65	61	31
66	62	30
67	63	30
68	64	29
69	66	28
70	68	27
71	69	26
72	70	25
73	70	24
74	71	23
75	72	22
76	73	22
77	74	21
78	75	20
79	76	19
80	77	18
81	78	17
82	79	16
83	81	15
84	82	14
85	83	13
86	84	12
87	84	11
88	85	10
89	86	9
90	87	8
91	88	7
92	89	6
93	90	5
94	91	4
95	93	3
96	95	2
97	96	1
98	97	0
99	98	0
