iter	Passed	Remaining
0	118	118610
1	121	60420
2	122	40756
3	123	30716
4	124	24688
5	124	20699
6	125	17826
7	126	15669
8	127	13992
9	127	12662
10	128	11577
11	129	10665
12	130	9914
13	131	9256
14	132	8677
15	132	8168
16	133	7737
17	134	7345
18	135	7002
19	136	6697
20	137	6415
21	138	6158
22	139	5918
23	140	5699
24	141	5500
25	142	5354
26	143	5176
27	144	5013
28	145	4862
29	146	4728
30	147	4609
31	148	4495
32	150	4410
33	151	4309
34	152	4203
35	153	4103
36	154	4012
37	154	3921
38	155	3836
39	156	3754
40	157	3676
41	157	3603
42	158	3533
43	159	3465
44	160	3399
45	160	3338
46	161	3277
47	162	3228
48	163	3179
49	164	3128
50	165	3081
51	166	3032
52	167	2990
53	168	2944
54	168	2902
55	169	2862
56	170	2822
57	171	2782
58	171	2743
59	172	2707
60	173	2671
61	174	2637
62	175	2604
63	175	2571
64	176	2540
65	178	2521
66	179	2498
67	180	2470
68	180	2441
69	181	2413
70	182	2386
71	183	2360
72	183	2335
73	184	2309
74	185	2284
75	186	2261
76	186	2239
77	187	2217
78	188	2194
79	189	2174
80	189	2153
81	190	2132
82	190	2109
83	191	2090
84	192	2075
85	193	2057
86	194	2044
87	195	2027
88	196	2010
89	197	1993
90	197	1977
91	198	1961
92	199	1946
93	200	1930
94	200	1914
95	201	1898
96	202	1883
97	203	1868
98	203	1854
99	204	1839
100	205	1825
101	205	1811
102	206	1799
103	207	1787
104	208	1775
105	209	1764
106	209	1752
107	210	1739
108	211	1728
109	212	1716
110	212	1704
111	213	1693
112	214	1683
113	215	1672
114	215	1661
115	216	1650
116	217	1639
117	217	1628
118	218	1618
119	219	1609
120	220	1600
121	221	1591
122	222	1585
123	223	1577
124	224	1569
125	224	1560
126	225	1550
127	226	1542
128	227	1534
129	227	1524
130	228	1516
131	229	1507
132	230	1499
133	230	1491
134	231	1484
135	232	1478
136	233	1470
137	234	1463
138	235	1456
139	236	1450
140	237	1449
141	239	1444
142	239	1437
143	240	1430
144	241	1423
145	242	1416
146	242	1409
147	243	1404
148	244	1397
149	245	1391
150	246	1384
151	246	1377
152	247	1371
153	248	1365
154	249	1358
155	250	1352
156	251	1348
157	252	1344
158	253	1342
159	254	1336
160	255	1329
161	255	1323
162	256	1317
163	257	1311
164	258	1306
165	259	1301
166	259	1295
167	260	1290
168	261	1284
169	261	1278
170	262	1273
171	263	1267
172	264	1264
173	265	1260
174	266	1257
175	267	1252
176	268	1249
177	269	1244
178	270	1238
179	270	1234
180	271	1229
181	272	1224
182	273	1219
183	273	1214
184	274	1209
185	275	1205
186	276	1200
187	276	1195
188	277	1190
189	278	1186
190	279	1182
191	280	1179
192	281	1175
193	282	1172
194	283	1169
195	284	1167
196	285	1163
197	286	1158
198	286	1154
199	287	1149
200	288	1146
201	289	1141
202	289	1137
203	290	1133
204	291	1129
205	291	1125
206	292	1121
207	293	1116
208	294	1113
209	294	1109
210	295	1105
211	296	1102
212	297	1099
213	298	1096
214	299	1092
215	299	1088
216	300	1084
217	301	1080
218	302	1077
219	302	1073
220	303	1069
221	304	1065
222	304	1062
223	305	1058
224	306	1055
225	306	1051
226	307	1048
227	308	1045
228	309	1042
229	310	1041
230	311	1038
231	313	1036
232	313	1033
233	314	1030
234	315	1026
235	316	1023
236	316	1020
237	317	1016
238	318	1013
239	319	1010
240	319	1007
241	320	1003
242	321	1000
243	322	997
244	322	994
245	323	992
246	324	989
247	325	986
248	326	984
249	327	981
250	328	979
251	329	978
252	330	975
253	331	972
254	331	969
255	332	966
256	333	965
257	334	962
258	335	959
259	335	956
260	336	953
261	337	950
262	338	947
263	339	945
264	340	943
265	340	940
266	341	938
267	342	936
268	343	934
269	344	931
270	345	928
271	345	925
272	346	923
273	347	920
274	348	917
275	348	914
276	349	912
277	350	909
278	350	906
279	351	903
280	352	900
281	352	898
282	353	896
283	355	895
284	355	893
285	357	891
286	358	889
287	359	887
288	359	885
289	360	882
290	361	880
291	362	877
292	362	875
293	363	872
294	364	870
295	364	867
296	365	865
297	366	863
298	367	860
299	367	858
300	369	857
301	370	855
302	371	853
303	372	852
304	373	850
305	374	848
306	374	846
307	375	843
308	376	841
309	377	839
310	377	836
311	378	834
312	379	832
313	379	829
314	380	827
315	381	825
316	381	822
317	383	822
318	384	820
319	385	819
320	386	818
321	387	816
322	388	813
323	389	811
324	389	809
325	390	807
326	391	805
327	392	803
328	392	801
329	393	798
330	394	796
331	394	794
332	395	792
333	396	790
334	398	790
335	398	788
336	399	786
337	400	785
338	402	784
339	402	782
340	403	780
341	404	778
342	405	776
343	406	774
344	406	772
345	407	770
346	408	768
347	409	766
348	409	764
349	410	762
350	411	760
351	412	759
352	413	758
353	415	757
354	416	757
355	417	755
356	418	754
357	419	752
358	420	751
359	421	749
360	422	747
361	423	745
362	424	744
363	424	742
364	425	740
365	426	739
366	427	738
367	429	736
368	430	736
369	431	734
370	432	733
371	433	732
372	434	730
373	435	728
374	435	726
375	436	725
376	437	723
377	438	721
378	439	720
379	440	718
380	441	717
381	442	716
382	443	714
383	445	714
384	446	712
385	446	710
386	447	709
387	448	707
388	449	705
389	449	703
390	450	701
391	451	699
392	451	698
393	452	696
394	453	694
395	454	692
396	454	690
397	455	689
398	456	687
399	457	686
400	458	685
401	459	684
402	460	682
403	461	681
404	462	679
405	463	677
406	463	675
407	464	673
408	465	672
409	465	670
410	466	668
411	467	667
412	468	665
413	468	663
414	469	662
415	470	660
416	471	659
